LATITUDE,LONGITUDE,HourlyPrecipitation,HourlyWindSpeed,DATES
40.77898,-73.96925,0.04,5.0,2009-01-28T17:25:00
40.77898,-73.96925,0.05,13.0,2009-01-28T17:34:00
40.77898,-73.96925,0.05,7.0,2009-01-28T17:47:00
40.77898,-73.96925,0.06,5.0,2009-01-28T17:51:00
40.77898,-73.96925,0,8.0,2009-01-28T18:18:00
40.77898,-73.96925,0,8.0,2009-01-28T18:31:00
40.77898,-73.96925,0,11.0,2009-01-28T18:42:00
40.77898,-73.96925,0,11.0,2009-01-28T18:51:00
40.77898,-73.96925,0.01,10.0,2009-01-28T19:51:00
40.77898,-73.96925,0,10.0,2009-01-30T12:51:00
40.77898,-73.96925,0,6.0,2009-01-30T13:00:00
40.77898,-73.96925,0,8.0,2009-01-30T13:51:00
40.77898,-73.96925,0,9.0,2009-02-03T00:26:00
40.77898,-73.96925,0,8.0,2009-02-03T00:33:00
40.77898,-73.96925,0,11.0,2009-02-03T00:51:00
40.77898,-73.96925,0.01,6.0,2009-02-03T01:19:00
40.77898,-73.96925,0.01,8.0,2009-02-03T01:45:00
40.77898,-73.96925,0.01,7.0,2009-02-03T01:51:00
40.77898,-73.96925,0,5.0,2009-02-03T01:53:00
40.77898,-73.96925,0.01,7.0,2009-02-03T02:06:00
40.77898,-73.96925,0.01,7.0,2009-02-03T02:13:00
40.77898,-73.96925,0.01,7.0,2009-02-03T02:51:00
40.77898,-73.96925,0,8.0,2009-02-03T03:51:00
40.77898,-73.96925,0,8.0,2009-02-03T06:51:00
40.77898,-73.96925,0,13.0,2009-02-03T07:51:00
40.77898,-73.96925,0,9.0,2009-02-03T09:01:00
40.77898,-73.96925,0,13.0,2009-02-03T09:09:00
40.77898,-73.96925,0.01,8.0,2009-02-03T09:51:00
40.77898,-73.96925,0.01,10.0,2009-02-03T10:51:00
40.77898,-73.96925,0,9.0,2009-02-03T11:10:00
40.77898,-73.96925,0.02,9.0,2009-02-03T11:43:00
40.77898,-73.96925,0.02,7.0,2009-02-03T11:51:00
40.77898,-73.96925,0,8.0,2009-02-03T12:04:00
40.77898,-73.96925,0.02,10.0,2009-02-03T12:26:00
40.77898,-73.96925,0.03,5.0,2009-02-03T12:51:00
40.77898,-73.96925,0.01,8.0,2009-02-03T13:05:00
40.77898,-73.96925,0.02,3.0,2009-02-03T13:22:00
40.77898,-73.96925,0.04,14.0,2009-02-03T13:51:00
40.77898,-73.96925,0.02,10.0,2009-02-03T14:51:00
40.77898,-73.96925,0.04,8.0,2009-02-03T15:51:00
40.77898,-73.96925,0.03,11.0,2009-02-03T16:20:00
40.77898,-73.96925,0.03,7.0,2009-02-03T16:30:00
40.77898,-73.96925,0.04,9.0,2009-02-03T16:51:00
40.77898,-73.96925,0,7.0,2009-02-03T17:00:00
40.77898,-73.96925,0,8.0,2009-02-03T17:14:00
40.77898,-73.96925,0.01,13.0,2009-02-03T17:28:00
40.77898,-73.96925,0.01,8.0,2009-02-03T17:48:00
40.77898,-73.96925,0.02,8.0,2009-02-03T17:51:00
40.77898,-73.96925,0,7.0,2009-02-03T18:01:00
40.77898,-73.96925,0.03,9.0,2009-02-03T18:40:00
40.77898,-73.96925,0.03,7.0,2009-02-03T18:51:00
40.77898,-73.96925,0,5.0,2009-02-03T19:14:00
40.77898,-73.96925,0,3.0,2009-02-03T19:51:00
40.77898,-73.96925,0,9.0,2009-02-08T11:51:00
40.77898,-73.96925,0.02,10.0,2009-02-11T23:51:00
40.77898,-73.96925,0.10,5.0,2009-02-12T00:34:00
40.77898,-73.96925,0.13,7.0,2009-02-12T00:46:00
40.77898,-73.96925,0.13,6.0,2009-02-12T00:51:00
40.77898,-73.96925,0,5.0,2009-02-12T01:51:00
40.77898,-73.96925,0.01,14.0,2009-02-18T13:18:00
40.77898,-73.96925,0.01,9.0,2009-02-18T13:36:00
40.77898,-73.96925,0.01,5.0,2009-02-18T13:51:00
40.77898,-73.96925,0,9.0,2009-02-18T15:05:00
40.77898,-73.96925,0.03,8.0,2009-02-18T15:44:00
40.77898,-73.96925,0.04,8.0,2009-02-18T15:51:00
40.77898,-73.96925,0.02,3.0,2009-02-18T16:04:00
40.77898,-73.96925,0.03,7.0,2009-02-18T16:16:00
40.77898,-73.96925,0.08,6.0,2009-02-18T16:51:00
40.77898,-73.96925,0.02,10.0,2009-02-18T17:06:00
40.77898,-73.96925,0.04,3.0,2009-02-18T17:51:00
40.77898,-73.96925,0.03,10.0,2009-02-18T18:51:00
40.77898,-73.96925,0.04,8.0,2009-02-18T19:51:00
40.77898,-73.96925,0.07,7.0,2009-02-18T20:51:00
40.77898,-73.96925,0,5.0,2009-02-18T21:51:00
40.77898,-73.96925,0.01,5.0,2009-02-18T22:40:00
40.77898,-73.96925,0.01,0.0,2009-02-18T22:51:00
40.77898,-73.96925,0,6.0,2009-02-19T02:51:00
40.77898,-73.96925,0.01,6.0,2009-02-19T03:51:00
40.77898,-73.96925,0,10.0,2009-02-19T04:51:00
40.77898,-73.96925,0,0.0,2009-02-22T09:51:00
40.77898,-73.96925,0,6.0,2009-02-22T10:21:00
40.77898,-73.96925,0,5.0,2009-02-22T10:42:00
40.77898,-73.96925,0,5.0,2009-02-22T10:49:00
40.77898,-73.96925,0,7.0,2009-02-22T10:51:00
40.77898,-73.96925,0.01,5.0,2009-02-22T11:51:00
40.77898,-73.96925,0.01,9.0,2009-02-22T13:51:00
40.77898,-73.96925,0,9.0,2009-02-22T14:48:00
40.77898,-73.96925,0.01,9.0,2009-02-22T14:51:00
40.77898,-73.96925,0.01,11.0,2009-02-22T15:51:00
40.77898,-73.96925,0.02,8.0,2009-02-22T16:51:00
40.77898,-73.96925,0.01,11.0,2009-02-22T17:47:00
40.77898,-73.96925,0.01,8.0,2009-02-22T17:51:00
40.77898,-73.96925,0,9.0,2009-02-27T16:51:00
40.77898,-73.96925,0.02,11.0,2009-02-27T17:51:00
40.77898,-73.96925,0.01,8.0,2009-02-27T18:51:00
40.77898,-73.96925,0.01,7.0,2009-02-27T19:51:00
40.77898,-73.96925,0,7.0,2009-02-27T22:51:00
40.77898,-73.96925,0,3.0,2009-02-27T23:51:00
40.77898,-73.96925,0,10.0,2009-03-01T05:09:00
40.77898,-73.96925,0.01,13.0,2009-03-01T05:32:00
40.77898,-73.96925,0.02,10.0,2009-03-01T05:51:00
40.77898,-73.96925,0,8.0,2009-03-01T06:44:00
40.77898,-73.96925,0,10.0,2009-03-01T06:51:00
40.77898,-73.96925,0,15.0,2009-03-01T20:42:00
40.77898,-73.96925,0,13.0,2009-03-01T20:51:00
40.77898,-73.96925,0,10.0,2009-03-01T21:10:00
40.77898,-73.96925,0.01,13.0,2009-03-01T21:18:00
40.77898,-73.96925,0.03,11.0,2009-03-01T21:51:00
40.77898,-73.96925,0.01,11.0,2009-03-01T22:08:00
40.77898,-73.96925,0.02,14.0,2009-03-01T22:19:00
40.77898,-73.96925,0.04,9.0,2009-03-01T22:44:00
40.77898,-73.96925,0.04,11.0,2009-03-01T22:51:00
40.77898,-73.96925,0.01,8.0,2009-03-01T23:19:00
40.77898,-73.96925,0.03,11.0,2009-03-01T23:38:00
40.77898,-73.96925,0.05,10.0,2009-03-01T23:51:00
40.77898,-73.96925,0.02,10.0,2009-03-02T00:15:00
40.77898,-73.96925,0.04,9.0,2009-03-02T00:44:00
40.77898,-73.96925,0.05,10.0,2009-03-02T00:51:00
40.77898,-73.96925,0.07,8.0,2009-03-02T01:51:00
40.77898,-73.96925,0.04,10.0,2009-03-02T02:15:00
40.77898,-73.96925,0.05,11.0,2009-03-02T02:23:00
40.77898,-73.96925,0.10,9.0,2009-03-02T02:51:00
40.77898,-73.96925,0.12,16.0,2009-03-02T03:51:00
40.77898,-73.96925,0.03,17.0,2009-03-02T04:24:00
40.77898,-73.96925,0.03,11.0,2009-03-02T04:32:00
40.77898,-73.96925,0.03,16.0,2009-03-02T04:51:00
40.77898,-73.96925,0.01,10.0,2009-03-02T05:00:00
40.77898,-73.96925,0.02,14.0,2009-03-02T05:10:00
40.77898,-73.96925,0.04,14.0,2009-03-02T05:30:00
40.77898,-73.96925,0.04,14.0,2009-03-02T05:38:00
40.77898,-73.96925,0.04,13.0,2009-03-02T05:48:00
40.77898,-73.96925,0.04,15.0,2009-03-02T05:51:00
40.77898,-73.96925,0.01,13.0,2009-03-02T06:40:00
40.77898,-73.96925,0.01,10.0,2009-03-02T06:51:00
40.77898,-73.96925,0.01,8.0,2009-03-02T08:27:00
40.77898,-73.96925,0.01,7.0,2009-03-02T08:49:00
40.77898,-73.96925,0.01,8.0,2009-03-02T08:51:00
40.77898,-73.96925,0.01,11.0,2009-03-02T09:00:00
40.77898,-73.96925,0.02,13.0,2009-03-02T09:22:00
40.77898,-73.96925,0.05,15.0,2009-03-02T09:51:00
40.77898,-73.96925,0.01,7.0,2009-03-06T01:51:00
40.77898,-73.96925,0,7.0,2009-03-08T15:51:00
40.77898,-73.96925,0,15.0,2009-03-08T20:51:00
40.77898,-73.96925,0,5.0,2009-03-08T23:51:00
40.77898,-73.96925,0,11.0,2009-03-09T00:51:00
40.77898,-73.96925,0,6.0,2009-03-09T02:51:00
40.77898,-73.96925,0,13.0,2009-03-09T03:37:00
40.77898,-73.96925,0,11.0,2009-03-09T03:51:00
40.77898,-73.96925,0.02,8.0,2009-03-09T08:51:00
40.77898,-73.96925,0.01,8.0,2009-03-09T09:13:00
40.77898,-73.96925,0.02,6.0,2009-03-09T09:20:00
40.77898,-73.96925,0.04,14.0,2009-03-09T09:51:00
40.77898,-73.96925,0.03,7.0,2009-03-09T10:51:00
40.77898,-73.96925,0,5.0,2009-03-09T11:51:00
40.77898,-73.96925,0.01,7.0,2009-03-09T13:10:00
40.77898,-73.96925,0.01,7.0,2009-03-09T13:47:00
40.77898,-73.96925,0.01,7.0,2009-03-09T13:51:00
40.77898,-73.96925,0,6.0,2009-03-10T00:51:00
40.77898,-73.96925,0.01,3.0,2009-03-10T01:34:00
40.77898,-73.96925,0.01,0.0,2009-03-10T01:51:00
40.77898,-73.96925,0,8.0,2009-03-10T17:51:00
40.77898,-73.96925,0.02,8.0,2009-03-19T10:51:00
40.77898,-73.96925,0.04,8.0,2009-03-19T11:51:00
40.77898,-73.96925,0.01,9.0,2009-03-19T12:04:00
40.77898,-73.96925,0.05,7.0,2009-03-19T12:51:00
40.77898,-73.96925,0.01,5.0,2009-03-19T13:06:00
40.77898,-73.96925,0.02,5.0,2009-03-19T13:51:00
40.77898,-73.96925,0,0.0,2009-03-19T14:06:00
40.77898,-73.96925,0,5.0,2009-03-19T14:23:00
40.77898,-73.96925,0,5.0,2009-03-19T14:51:00
40.77898,-73.96925,0,9.0,2009-03-20T05:51:00
40.77898,-73.96925,0,6.0,2009-03-20T06:18:00
40.77898,-73.96925,0,5.0,2009-03-20T06:33:00
40.77898,-73.96925,0,9.0,2009-03-20T06:43:00
40.77898,-73.96925,0,8.0,2009-03-20T06:46:00
40.77898,-73.96925,0,10.0,2009-03-20T06:51:00
40.77898,-73.96925,0,0.0,2009-03-20T07:05:00
40.77898,-73.96925,0.02,3.0,2009-03-20T07:23:00
40.77898,-73.96925,0.02,6.0,2009-03-20T07:32:00
40.77898,-73.96925,0.03,7.0,2009-03-20T07:38:00
40.77898,-73.96925,0.03,7.0,2009-03-20T07:51:00
40.77898,-73.96925,0.01,7.0,2009-03-20T08:30:00
40.77898,-73.96925,0.01,9.0,2009-03-20T08:51:00
40.77898,-73.96925,0,6.0,2009-03-20T09:51:00
40.77898,-73.96925,0,9.0,2009-03-20T10:51:00
40.77898,-73.96925,0.01,5.0,2009-03-26T16:51:00
40.77898,-73.96925,0.02,3.0,2009-03-26T17:06:00
40.77898,-73.96925,0.04,5.0,2009-03-26T17:20:00
40.77898,-73.96925,0.05,6.0,2009-03-26T17:51:00
40.77898,-73.96925,0.04,5.0,2009-03-26T18:51:00
40.77898,-73.96925,0.05,0.0,2009-03-26T19:51:00
40.77898,-73.96925,0.05,0.0,2009-03-26T20:14:00
40.77898,-73.96925,0.22,3.0,2009-03-26T20:51:00
40.77898,-73.96925,0.01,3.0,2009-03-26T21:00:00
40.77898,-73.96925,0.03,3.0,2009-03-26T21:41:00
40.77898,-73.96925,0.03,3.0,2009-03-26T21:51:00
40.77898,-73.96925,0,5.0,2009-03-28T03:51:00
40.77898,-73.96925,0.02,5.0,2009-03-28T04:51:00
40.77898,-73.96925,0.01,7.0,2009-03-28T05:51:00
40.77898,-73.96925,0,6.0,2009-03-28T06:51:00
40.77898,-73.96925,0.01,9.0,2009-03-28T23:51:00
40.77898,-73.96925,0.02,13.0,2009-03-29T00:14:00
40.77898,-73.96925,0.02,9.0,2009-03-29T00:51:00
40.77898,-73.96925,0,11.0,2009-03-29T01:36:00
40.77898,-73.96925,0,9.0,2009-03-29T01:51:00
40.77898,-73.96925,0,9.0,2009-03-29T02:51:00
40.77898,-73.96925,0.02,7.0,2009-03-29T03:51:00
40.77898,-73.96925,0.04,9.0,2009-03-29T04:51:00
40.77898,-73.96925,0.04,11.0,2009-03-29T05:46:00
40.77898,-73.96925,0.10,13.0,2009-03-29T05:51:00
40.77898,-73.96925,0.02,11.0,2009-03-29T06:00:00
40.77898,-73.96925,0.04,9.0,2009-03-29T06:09:00
40.77898,-73.96925,0.04,10.0,2009-03-29T06:16:00
40.77898,-73.96925,0.06,13.0,2009-03-29T06:51:00
40.77898,-73.96925,0,11.0,2009-03-29T07:38:00
40.77898,-73.96925,0,7.0,2009-03-29T07:51:00
40.77898,-73.96925,0,8.0,2009-03-29T08:51:00
40.77898,-73.96925,0,6.0,2009-03-29T12:40:00
40.77898,-73.96925,0.01,6.0,2009-03-29T12:51:00
40.77898,-73.96925,0,9.0,2009-03-29T19:08:00
40.77898,-73.96925,0,5.0,2009-03-29T19:16:00
